title,doi,authors,year,sources,query_groups,cluster_size,venue,primary_venue
A Benchmark for Evaluating Repository-Level Code Agents with Intermediate Reasoning on Feature Addition Task,,Shuhan Liu; Zhiyi Zhao; Xing Hu; Kui Liu; Xiaohu Yang; Xin Xia,2026,arXiv,SE-G2 AND AI-G2,1,cs.SE,arXiv
A Benchmark for Localizing Code and Non-Code Issues in Software Projects,,Zejun Zhang; Jian Wang; Qingyun Yang; Yifan Pan; Yi Tang; Yi Li; Zhenchang Xing; Tian Zhang; Xuandong Li; Guoan Zhang,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
A Multi-Dimensional Quality Evaluation of Code Generated by LLM-Based Tools Across Multiple Programming Languages,10.1145/3800582,"Li, Ruimeng and Mo, Ran and Zeng, Yao and Liu, Zili and Li, Zengyang and Ma, Yutao",2026,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Real-World Benchmark for Evaluating Fine-Grained Issue Solving Capabilities of Large Language Models,,Ruida Hu; Chao Peng; Jingyi Ren; Bo Jiang; Xiangxin Meng; Qinyun Wu; Pengfei Gao; Xinchen Wang; Cuiyun Gao,2024,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
A Rubric-Supervised Critic from Sparse Real-World Outcomes,,Xingyao Wang; Valerie Chen; Heng Ji; Graham Neubig,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI,arXiv
A Self-Improving Coding Agent,,Maxime Robeyns; Martin Szummer; Laurence Aitchison,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI; ICLR 2025 Workshop on Scaling Self-Improving Foundation Models (Oral),ICLR
AEGIS: An Agent-based Framework for General Bug Reproduction from Issue Descriptions,,Xinchen Wang; Pengfei Gao; Xiangxin Meng; Chao Peng; Ruida Hu; Yun Lin; Cuiyun Gao,2024,arXiv,SE-G2 AND AI-G2,1,cs.SE; FSE 2025 (Industry Track); FSE/ESEC,FSE
Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving,,Xiangru Tang; Tianrui Qin; Tianhao Peng; Ziyang Zhou; Daniel Shao; Tingting Du; Xinming Wei; Peng Xia; Fang Wu; He Zhu; Ge Zhang; Jiaheng Liu; Xingyao Wang; Sirui Hong; Chenglin Wu; Hao Cheng; Chi Wang; Wangchunshu Zhou,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.CL,arXiv
Agent-Based Ensemble Reasoning for Repository-Level Issue Resolution,,"Pengfei Gao, Junjie Chen, Chao Peng Zhao Tian",2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE,arXiv
Agent-RLVR: Training Software Engineering Agents via Guidance and Environment Rewards,,Jeff Da; Clinton Wang; Xiang Deng; Yuntao Ma; Nikhil Barhate; Sean Hendryx,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.CL,arXiv
Agentic Bug Reproduction for Effective Automated Program Repair at Google,,Runxiang Cheng; Michele Tufano; Jürgen Cito; José Cambronero; Pat Rondon; Renyao Wei; Aaron Sun; Satish Chandra,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Agentic Rubrics as Contextual Verifiers for SWE Agents,,Mohit Raghavendra; Anisha Gunjal; Bing Liu; Yunzhong He,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.LG; ICLR 2026,ICLR
AgentLens: Revealing The Lucky Pass Problem in SWE-Agent Evaluation,,Priyam Sahoo; Gaurav Mittal; Xiaomin Li; Shengjie Ma; Benjamin Steenhoek; Pingping Lin; Yu Hu,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
Agyn: A Multi-Agent System for Team-Based Autonomous Software Engineering,,Nikita Benkovich; Vitalii Valkov,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
Alibaba LingmaAgent: Improving Automated Issue Resolution via Comprehensive Repository Exploration,10.1145/3696630.3728549,"Ma, Yingwei and Yang, Qingping and Cao, Rongyu and Li, Binhua and Huang, Fei and Li, Yongbin",2025,ACM+arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,8,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering; cs.SE; FSE/ESEC,FSE
Ambig-SWE: Interactive Agents to Overcome Underspecificity in Software Engineering,,Sanidhya Vijayvargiya; Xuhui Zhou; Akhila Yerukola; Maarten Sap; Graham Neubig,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI; ICLR 2026,ICLR
An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far Are We?,10.1109/icse55347.2025.00064,"Suh, Hyunjae and Tafreshipour, Mahan and Li, Jiawei and Bhattiprolu, Adithya and Ahmed, Iftekhar",2025,ACM,SE-G1 AND AI-G1,1,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering,ICSE
An Empirical Study on Failures in Automated Issue Solving,,Simiao Liu; Fang Liu; Liehao Li; Xin Tan; Yinghao Zhu; Xiaoli Lian; Li Zhang,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
An Empirical Study on LLM-based Agents for Automated Bug Fixing,,Xiangxin Meng; Zexiong Ma; Pengfei Gao; Chao Peng,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
ARISE: A Repository-level Graph Representation and Toolset for Agentic Fault Localization and Program Repair,,Shahd Seddik; Fatemeh Fard,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Architecture-Aware Multi-Design Generation for Repository-Level Feature Addition,,Mingwei Liu; Zhenxi Chen; Zheng Pei; Zihao Wang; Yanlin Wang; Zibin Zheng,2026,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
"Are ""Solved Issues"" in SWE-bench Really Solved Correctly? An Empirical Study",,You Wang; Michael Pradel; Zhongxin Liu,2026,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
Are AI-Generated Fixes Secure? Analyzing LLM and Agent Patches on SWE-bench,,Amirali Sajadi; Kostadin Damevski; Preetha Chatterjee,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
AssertFlip: Reproducing Bugs via Inversion of LLM-Generated Passing Tests,,Lara Khatib; Noble Saji Mathews; Meiyappan Nagappan,2025,arXiv,SE-G2 AND AI-G1,1,cs.SE; ICSE 2026,ICSE
AutoCodeRover: Autonomous Program Improvement,10.1145/3650212.3680384,"Zhang, Yuntong and Ruan, Haifeng and Fan, Zhiyu and Roychoudhury, Abhik",2024,ACM+arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,8,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis; cs.SE; ISSTA,ISSTA
Automated Benchmark Generation for Repository-Level Coding Tasks,,Konstantinos Vergopoulos; Mark Niklas Müller; Martin Vechev,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE; ICML 2025,ICML
Automated Generation of Issue-Reproducing Tests by Combining LLMs and Search-Based Testing,,Konstantinos Kitsios; Marco Castelluccio; Alberto Bacchelli,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
Beyond Final Code: A Process-Oriented Error Analysis of Software Development Agents in Real-World GitHub Scenarios,,Zhi Chen; Wei Ma; Lingxiao Jiang,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICSE 2026,ICSE
Beyond Fixed Tests: Repository-Level Issue Resolution as Coevolution of Code and Behavioral Constraints,,Kefan Li; Yuan Yuan; Mengfei Wang; Shihao Zheng; Wei Wang; Ping Yang; Mu Li; Weifeng Lv,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Beyond Isolated Tasks: A Framework for Evaluating Coding Agents on Sequential Software Evolution,,KN Ajay Shastry; Ganesh Senrayan; Shrey Satapara; Pranoy Panda; Chaitanya Devaguptapu,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
Beyond Localization: Recoverable Headroom and Residual Frontier in Repository-Level RAG-APR,,Pengtao Zhao; Boyang Yang; Bach Le; Feng Liu; Haoye Tian,2026,arXiv,SE-G2 AND AI-G1,1,cs.SE,arXiv
